Country,Governorate,District,year,adm2_code,XGB+DNN Predicted MPI,XGB+DNN Predicted Severe Poverty %
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Zapadnohercegovacki,2023,6249,0.272410154,25.32295154
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Zapadnohercegovacki,2024,6249,0.265698254,24.40452163
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Zenicko-dobojski,2020,6250,0.220823169,18.55518116
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Zenicko-dobojski,2021,6250,0.213937253,17.70622213
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Zenicko-dobojski,2022,6250,0.245797649,21.74562652
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Zenicko-dobojski,2023,6250,0.237703323,20.69305539
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Zenicko-dobojski,2024,6250,0.238989726,20.85917747
Bosnia and Herzegovina,Republika Srpska,Banja Luka,2020,6251,0.22299546003341675,18.82583622
Bosnia and Herzegovina,Republika Srpska,Banja Luka,2021,6251,0.256486923,23.16158308
Bosnia and Herzegovina,Republika Srpska,Banja Luka,2022,6251,0.215641126,17.91500741
Bosnia and Herzegovina,Republika Srpska,Banja Luka,2023,6251,0.226127893,19.21847689
Bosnia and Herzegovina,Republika Srpska,Banja Luka,2024,6251,0.258792073,23.47069136
Bosnia and Herzegovina,Republika Srpska,Bijeljina,2021,6252,0.159984723,11.56477135
Bosnia and Herzegovina,Republika Srpska,Bijeljina,2023,6252,0.162858099,11.86749313
Bosnia and Herzegovina,Republika Srpska,Bijeljina,2024,6252,0.162375584,11.81645607
Bosnia and Herzegovina,Republika Srpska,Bijeljina,2020,6252,0.160774559,11.64769486
Bosnia and Herzegovina,Republika Srpska,Bijeljina,2022,6252,0.159852713,11.55093335
Bosnia and Herzegovina,Republika Srpska,Bileca,2020,6253,0.217776895,18.17791222
Bosnia and Herzegovina,Republika Srpska,Bileca,2021,6253,0.223174214,18.84816784
Bosnia and Herzegovina,Republika Srpska,Bileca,2022,6253,0.219252735,18.36035534
Bosnia and Herzegovina,Republika Srpska,Bileca,2023,6253,0.224672288,19.03567676
Bosnia and Herzegovina,Republika Srpska,Bileca,2024,6253,0.223740175,18.91893263
Bosnia and Herzegovina,Republika Srpska,Bosanska Dubica,2020,6254,0.212341696,17.51148305
Bosnia and Herzegovina,Republika Srpska,Bosanska Dubica,2021,6254,0.193573594,15.27850374
Bosnia and Herzegovina,Republika Srpska,Bosanska Dubica,2022,6254,0.194808275,15.42206052
Bosnia and Herzegovina,Republika Srpska,Bosanska Dubica,2023,6254,0.223647013,18.90727789
Bosnia and Herzegovina,Republika Srpska,Bosanska Dubica,2024,6254,0.210067272,17.23518989
Bosnia and Herzegovina,Republika Srpska,Bosanska Gradiska,2020,6255,0.203660637,16.46525442
Bosnia and Herzegovina,Republika Srpska,Bosanska Gradiska,2021,6255,0.173600465,13.02458428
Bosnia and Herzegovina,Republika Srpska,Bosanska Gradiska,2022,6255,0.174394861,13.11171479
Bosnia and Herzegovina,Republika Srpska,Bosanska Gradiska,2023,6255,0.215503395,17.89809882
Bosnia and Herzegovina,Republika Srpska,Bosanska Gradiska,2024,6255,0.224192649,18.97557285
Bosnia and Herzegovina,Republika Srpska,Bosanska Krupa,2020,6256,0.262886941,24.02299671
Bosnia and Herzegovina,Republika Srpska,Bosanska Krupa,2021,6256,0.253440619,22.75511173
Bosnia and Herzegovina,Republika Srpska,Bosanska Krupa,2022,6256,0.251187533,22.45597749
Bosnia and Herzegovina,Republika Srpska,Bosanska Krupa,2023,6256,0.257180154,23.25440393
Bosnia and Herzegovina,Republika Srpska,Bosanska Krupa,2024,6256,0.270549595,25.06730579
Bosnia and Herzegovina,Republika Srpska,Bosanski Brod,2020,6257,0.217407241,18.13231448
Bosnia and Herzegovina,Republika Srpska,Bosanski Brod,2021,6257,0.227361947,19.37391989
Bosnia and Herzegovina,Republika Srpska,Bosanski Brod,2022,6257,0.172504008,12.90467338
Bosnia and Herzegovina,Republika Srpska,Bosanski Brod,2023,6257,0.1965404897928238,15.62427401
Bosnia and Herzegovina,Republika Srpska,Bosanski Brod,2024,6257,0.221793652,18.67593138
Bosnia and Herzegovina,Republika Srpska,Bosanski Novi,2020,6258,0.2838083803653717,26.90625406
Bosnia and Herzegovina,Republika Srpska,Bosanski Novi,2021,6258,0.244789124,21.61354125
Bosnia and Herzegovina,Republika Srpska,Bosanski Novi,2022,6258,0.201588228,16.2188634
Bosnia and Herzegovina,Republika Srpska,Bosanski Novi,2023,6258,0.211835429,17.44984982
Bosnia and Herzegovina,Republika Srpska,Bosanski Novi,2024,6258,0.257613212,23.31244879
